iter	Passed	Remaining
0	2	290
1	5	256
2	7	240
3	9	225
4	11	218
5	13	212
6	15	210
7	17	205
8	20	204
9	22	200
10	24	195
11	25	189
12	27	185
13	29	180
14	31	176
15	33	174
16	37	181
17	40	185
18	42	182
19	44	178
20	46	173
21	47	168
22	48	163
23	50	159
24	51	154
25	52	150
26	54	146
27	55	143
28	56	139
29	58	135
30	59	132
31	61	130
32	62	127
33	64	124
34	65	121
35	66	118
36	68	115
37	69	112
38	70	109
39	71	106
40	72	104
41	73	101
42	74	99
43	76	96
44	76	94
45	77	91
46	79	89
47	80	87
48	81	84
49	82	82
50	83	79
51	83	77
52	85	75
53	86	73
54	87	71
55	87	69
56	88	66
57	89	64
58	90	62
59	91	61
60	93	59
61	94	57
62	95	56
63	96	54
64	97	52
65	98	50
66	99	48
67	100	47
68	100	45
69	101	43
70	102	41
71	103	40
72	104	38
73	105	36
74	106	35
75	107	33
76	107	32
77	108	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	114	20
85	115	18
86	116	17
87	117	16
88	118	14
89	119	13
90	119	11
91	120	10
92	121	9
93	122	7
94	124	6
95	125	5
96	125	3
97	126	2
98	127	1
99	128	0
