iter	Passed	Remaining
0	133	133431
1	135	67619
2	138	45868
3	139	34851
4	141	28217
5	144	23871
6	148	21035
7	152	18910
8	154	17054
9	156	15509
10	158	14216
11	160	13192
12	162	12308
13	163	11541
14	169	11132
15	171	10557
16	173	10030
17	175	9560
18	176	9136
19	178	8760
20	184	8602
21	186	8295
22	188	8002
23	190	7751
24	192	7510
25	194	7286
26	199	7186
27	201	7009
28	203	6825
29	206	6689
30	209	6533
31	216	6550
32	219	6435
33	221	6293
34	223	6158
35	225	6040
36	232	6049
37	236	5988
38	238	5878
39	241	5789
40	243	5695
41	245	5600
42	247	5503
43	248	5403
44	250	5309
45	251	5220
46	254	5158
47	257	5103
48	259	5027
49	260	4952
50	262	4879
51	263	4809
52	265	4741
53	266	4676
54	269	4627
55	273	4605
56	295	4888
57	297	4831
58	300	4799
59	303	4752
60	305	4698
61	307	4645
62	308	4592
63	310	4543
64	312	4494
65	314	4450
66	316	4409
67	324	4447
68	326	4405
69	333	4426
70	335	4389
71	337	4347
72	339	4313
73	341	4275
74	344	4243
75	350	4258
76	355	4265
77	357	4228
78	359	4192
79	397	4571
80	399	4531
81	404	4531
82	405	4481
83	407	4445
84	412	4444
85	414	4406
86	416	4374
87	418	4339
88	420	4307
89	434	4391
90	436	4355
91	437	4320
92	439	4285
93	485	4675
94	486	4637
95	488	4600
96	493	4593
97	495	4559
98	497	4523
99	498	4489
100	500	4457
101	502	4427
102	507	4421
103	509	4393
104	512	4365
105	515	4349
106	518	4329
107	520	4300
108	531	4345
109	533	4316
110	542	4344
111	546	4332
112	548	4304
113	550	4276
114	553	4255
115	554	4226
116	555	4194
117	557	4165
118	558	4136
119	560	4108
120	564	4100
121	565	4071
122	567	4043
123	568	4019
124	571	3999
125	573	3979
126	574	3951
127	576	3926
128	581	3927
129	583	3905
130	585	3887
131	587	3863
132	588	3839
133	590	3816
134	596	3822
135	600	3816
136	602	3797
137	604	3774
138	605	3752
139	607	3730
140	610	3719
141	612	3698
142	613	3678
143	615	3660
144	617	3640
145	618	3619
146	620	3600
147	622	3580
148	626	3579
149	630	3574
150	632	3555
151	633	3535
152	635	3517
153	636	3498
154	638	3481
155	642	3473
156	643	3456
157	646	3442
158	647	3425
159	648	3406
160	649	3385
161	651	3369
162	653	3353
163	660	3367
164	682	3452
165	689	3462
166	698	3485
167	703	3482
168	705	3470
169	709	3462
170	711	3447
171	712	3432
172	714	3417
173	719	3417
174	721	3402
175	725	3394
176	728	3388
177	735	3396
178	737	3381
179	753	3432
180	755	3420
181	758	3408
182	760	3393
183	768	3406
184	772	3403
185	774	3388
186	779	3387
187	799	3453
188	801	3441
189	803	3425
190	805	3410
191	808	3401
192	812	3396
193	814	3382
194	815	3368
195	817	3354
196	819	3339
197	820	3323
198	822	3309
199	823	3295
200	830	3300
201	831	3286
202	833	3271
203	834	3256
204	836	3242
205	837	3229
206	839	3216
207	843	3210
208	844	3197
209	846	3186
210	848	3173
211	850	3161
212	852	3149
213	854	3136
214	855	3123
215	860	3121
216	862	3110
217	863	3097
218	864	3084
219	866	3073
220	868	3061
221	869	3048
222	872	3040
223	874	3029
224	876	3018
225	877	3005
226	879	2993
227	880	2982
228	882	2971
229	883	2958
230	885	2946
231	889	2943
232	891	2934
233	893	2923
234	894	2912
235	896	2901
236	897	2890
237	899	2879
238	900	2867
239	905	2866
240	906	2856
241	908	2845
242	910	2834
243	911	2825
244	913	2814
245	914	2803
246	916	2792
247	920	2789
248	921	2779
249	923	2769
250	924	2759
251	926	2750
252	928	2740
253	929	2730
254	931	2722
255	934	2717
256	936	2707
257	937	2697
258	939	2687
259	943	2685
260	946	2679
261	951	2680
262	953	2671
263	956	2667
264	959	2660
265	960	2651
266	963	2643
267	964	2634
268	966	2626
269	968	2618
270	970	2610
271	971	2600
272	972	2590
273	974	2581
274	976	2573
275	989	2595
276	995	2598
277	1017	2642
278	1022	2642
279	1025	2637
280	1032	2642
281	1035	2636
282	1037	2628
283	1039	2620
284	1044	2621
285	1048	2616
286	1052	2614
287	1054	2607
288	1060	2610
289	1063	2603
290	1065	2595
291	1067	2587
292	1069	2580
293	1072	2574
294	1077	2573
295	1079	2566
296	1081	2559
297	1083	2551
298	1085	2543
299	1086	2536
300	1092	2535
301	1096	2534
302	1099	2528
303	1101	2522
304	1106	2522
305	1108	2515
306	1144	2584
307	1146	2576
308	1156	2586
309	1158	2578
310	1160	2570
311	1162	2563
312	1164	2556
313	1166	2548
314	1168	2541
315	1171	2535
316	1173	2528
317	1175	2520
318	1177	2513
319	1179	2506
320	1181	2499
321	1186	2498
322	1188	2491
323	1193	2490
324	1195	2483
325	1197	2475
326	1201	2471
327	1202	2463
328	1204	2456
329	1209	2454
330	1212	2451
331	1218	2450
332	1220	2445
333	1222	2437
334	1223	2429
335	1225	2421
336	1226	2413
337	1229	2407
338	1231	2401
339	1236	2400
340	1238	2392
341	1239	2385
342	1241	2377
343	1245	2375
344	1247	2367
345	1248	2360
346	1250	2353
347	1253	2347
348	1254	2340
349	1256	2333
350	1257	2325
351	1262	2323
352	1264	2316
353	1265	2309
354	1267	2302
355	1268	2295
356	1270	2288
357	1272	2281
358	1275	2277
359	1277	2270
360	1278	2263
361	1280	2255
362	1281	2248
363	1282	2241
364	1284	2235
365	1286	2228
366	1287	2221
367	1293	2221
368	1294	2214
369	1296	2207
370	1297	2199
371	1298	2192
372	1300	2185
373	1301	2178
374	1302	2171
375	1304	2164
376	1307	2160
377	1308	2153
378	1311	2148
379	1312	2141
380	1314	2135
381	1315	2128
382	1316	2121
383	1318	2114
384	1319	2107
385	1323	2104
386	1325	2099
387	1326	2092
388	1328	2085
389	1329	2079
390	1330	2072
391	1331	2065
392	1333	2059
393	1334	2052
394	1337	2048
395	1339	2042
396	1340	2036
397	1341	2029
398	1343	2023
399	1344	2016
400	1345	2010
401	1347	2003
402	1348	1997
403	1349	1991
404	1350	1984
405	1353	1980
406	1354	1973
407	1355	1967
